Input Compound Name,Matched Compound Name,Matched COMPOUND_ID,Source
21-hydroxypregnenolone monosulfate (1),17-hydroxypregnenolone sulfate(1-),133742,ChEBI
"5alpha-androstan-3alpha,17alpha-diol monosulfate","5alpha-androstan-3alpha,17beta-diol monosulfate",133105,ChEBI
"5alpha-pregnan-3beta,20beta-diol monosulfate (1)","5alpha-pregnane-3beta,20beta-diol monosulfate anion",133712,ChEBI
"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)","5alpha-pregnan-3beta,20alpha-diol disulfate",133118,ChEBI
5alpha-pregnan-diol disulfate,"5alpha-pregnane-3,20R-diol disulfate",133464,ChEBI
"5alpha-androstan-3alpha,17beta-diol disulfate","5alpha-androstan-3alpha,17beta-diol disulfate",133100,ChEBI
"5alpha-androstan-3alpha,17beta-diol monosulfate (1)","5alpha-androstan-3alpha,17beta-diol monosulfate",133105,ChEBI
"5alpha-androstan-3beta,17alpha-diol disulfate","5alpha-androstan-3beta,17alpha-diol disulfate",133111,ChEBI
"5alpha-androstan-3beta,17beta-diol monosulfate (2)","5alpha-androstan-3alpha,17beta-diol monosulfate",133105,ChEBI
"androstenediol (3alpha, 17alpha) monosulfate (3)","4-androstene-3alpha,17alpha-diol monosulfate anion",133715,ChEBI
"androstenediol (3beta,17beta) monosulfate (2)","4-androstene-3beta,17beta-diol monosulfate anion",133714,ChEBI
1-docosahexaenoyl-gpe (22:6)*,1-docosahexaenoyl-GPE (22:6),133432,ChEBI
1-docosapentaenoyl-gpc (22:5n3)*,1-docosapentaenoyl-GPC (22:5n3),133734,ChEBI
2-hydroxyglutarate,2-hydroxyglutarate,11596,UniProt
gamma-cehc,gamma-CEHC,89379,HMDB
n-acetyl-beta-alanine,N-Acetyl-beta-alanine,16682,KEGG COMPOUND
"sphingomyelin (d18:1/18:1, d18:2/18:0)",sphingomyelin (d18:1/18:1),85593,ChEBI
palmitoyl sphingomyelin (d18:1/16:0),palmitoyl sphingomyelin (d18:1/16:0),78646,ChEBI
3-hydroxyhippurate,3-hydroxyhippurate,133607,ChEBI
16a-hydroxy dhea 3-sulfate,16a-hydroxy DHEA 3-sulfate,87538,ChEBI
17alpha-hydroxypregnenolone 3-sulfate,17alpha-hydroxypregnenolone 3-sulfate,133742,UniProt
pregnenolone sulfate,Pregnenolone sulfate,35420,KEGG COMPOUND
ergothioneine,ergothioneine,82707,ChEBI
1-margaroyl-gpe (17:0)*,1-margaroyl-GPC (17:0),74340,ChEBI
1-pentadecanoyl-gpc (15:0)*,1-pentadecanoyl-GPC,72736,ChEBI
s-methylmethionine,N-methylmethionine,44003,ChEBI
indole-3-carboxylate,indole-3-carboxylate,62448,UniProt
n-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine,133183,ChEBI
4-cholesten-3-one,4-Cholesten-3-one,16175,KEGG COMPOUND
cinnamoylglycine,N-Cinnamylglycine,133605,ChEBI
cis-4-decenoylcarnitine (c10:1),cis-4-decenoylcarnitine,73048,ChEBI
phenylalanylphenylalanine,phenylalanylphenylalanine,72723,ChEBI
alpha-ketoglutaramate*,alpha-Ketoglutaramate,30882,KEGG COMPOUND
"2,3-dihydroxyisovalerate","2,3-dihydroxyisovalerate",11424,ChEBI
3-methylglutaconate,3-hydroxy-3-methylglutarate,17325,UniProt
5-(galactosylhydroxy)-l-lysine,5-(beta-D-galactopyranosyloxy)-L-lysine,37564,IUPAC
isoursodeoxycholate,isodeoxycholate,87733,UniProt
hydantoin-5-propionate,hydantoin-5-propanoate,133476,ChEBI
sulfate*,Sulfate,16189,KEGG COMPOUND
4-hydroxy-2-oxoglutaric acid,4-Hydroxy-2-oxoglutaric acid,30923,KEGG COMPOUND
4-hydroxyglutamate,4-Hydroxyphenylacetylglutamate,28036,KEGG COMPOUND
l-urobilin,L-Urobilin,29023,KEGG COMPOUND
s-methylcysteine,S-METHYLCYSTEINE,45658,PDBeChem
androsterone glucuronide,Androsterone glucuronide,28832,KEGG COMPOUND
argininate*,argininate,32695,IUPAC
2-oxoarginine*,2-Oxoarginine,28116,KEGG COMPOUND
cis-4-decenoate (10:1n6)*,cis-4-decenoate,33161,ChEBI
ethyl glucuronide,etiocholanolone glucuronide,133504,ChEBI
1-erucoyl-gpc (22:1)*,1-eicosenoyl-GPC (20:1),131982,ChEBI
1-adrenoyl-gpc (22:4)*,1-adrenoyl-GPC (22:4),133657,ChEBI
1-lignoceroyl-gpc (24:0),1-lignoceroyl-GPC (24:0),86260,ChEBI
1-(1-enyl-palmitoyl)-gpc (p-16:0)*,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0),133672,ChEBI
1-(1-enyl-oleoyl)-gpc (p-18:1)*,1-(1-enyl-oleoyl)-GPC (P-18:1),84753,ChEBI
1-(1-enyl-stearoyl)-gpc (p-18:0)*,1-(1-enyl-stearoyl)-GPC (P-18:0),133662,ChEBI
1-methyl-5-imidazoleacetate,5-Hydroxy-4-imidazoleacetate,27850,KEGG COMPOUND
glycoursodeoxycholate,glycoursodeoxycholate,132030,UniProt
s-methylcysteine sulfoxide,S-METHYLCYSTEINE,45658,PDBeChem
16-hydroxypalmitate,16-hydroxypalmitate,55329,ChEBI
oleoyl-linoleoyl-glycerol (18:1/18:2) [1],2-oleoyl-3-linoleoyl-sn-glycerol,75569,ChEBI
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],2-oleoyl-3-linoleoyl-sn-glycerol,75569,ChEBI
1-(1-enyl-palmitoyl)-gpe (p-16:0)*,1-(1-enyl-palmitoyl)-GPE (P-16:0),133139,ChEBI
1-(1-enyl-stearoyl)-gpe (p-18:0)*,1-(1-enyl-stearoyl)-GPE (P-18:0),133141,ChEBI
2-stearoyl-gpi (18:0)*,2-stearoyl-GPE (18:0),133144,ChEBI
n-oleoyltaurine,oleoyltaurine,146206,ChemIDplus
isoleucylalanine,isoleucylalanine,74062,ChEBI
isoleucylglycine,isoleucylglycine,74066,ChEBI
phenylalanylleucine,phenylalanylleucine,91150,ChEBI
tryptophylleucine,tryptophylleucine,74871,ChEBI
n-stearoyltaurine,N-stearoyltaurine(1-),132047,ChEBI
beta-citrylglutamate,beta-citrylglutamate,76942,UniProt
trimethylamine n-oxide,Trimethylamine N-oxide,15724,KEGG COMPOUND
imidazole propionate,imidazole propionate,72991,ChEBI
alliin,Alliin,2596,KEGG COMPOUND
threonylalanine,threonylalanine,74824,ChEBI
phenylalanyltryptophan,phenylalanyltryptophan,74751,ChemIDplus
valylglycine,valylglycine,73699,ChEBI
prolylalanine,prolylalanine,74753,ChEBI
prolylglycine,Prolylglycine,61695,ChemIDplus
n-palmitoylglycine,N-palmitoylglycine,39540,PDBeChem
lanthionine,L-lanthionine,21347,IUPAC
2-stearoyl-gpe (18:0)*,2-stearoyl-GPE (18:0),133144,ChEBI
(r)-3-hydroxybutyrylcarnitine,3-hydroxybutyrylcarnitine,84842,ChEBI
n-acetylcarnosine,N-acetylcadaverine,134408,UniProt
glycohyocholate,Glycolithocholate,37998,KEGG COMPOUND
retinal,retinal,17898,KEGG COMPOUND
2-hydroxydecanoate,2-hydroxydecanoate,133174,IUPAC
4-methylcatechol sulfate,O-methylcatechol sulfate,133460,ChEBI
3-methyl catechol sulfate (1),catechol sulfate(1-),133072,ChEBI
3b-hydroxy-5-cholenoic acid,3beta-Hydroxy-5-cholenoic acid,89234,HMDB
guaiacol sulfate,guanacline sulfate,134825,DrugCentral
2-aminooctanoate,2-aminooctanoate,142420,IUPAC
gamma-cehc glucuronide*,gamma-CEHC glucuronide,133148,ChEBI
2-piperidinone,2-Piperidinoethanol,61238,ChemIDplus
n-acetyl-1-methylhistidine*,N-acetyl-1-methylhistidine,133181,ChEBI
indolin-2-one,Indolin-2-one,31697,KEGG COMPOUND
2-aminophenol sulfate,2-aminophenol sulfate,133186,ChEBI
3-acetylphenol sulfate,4-acetylphenol sulfate,133225,ChEBI
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",sphingomyelin (d16:1/16:0),133171,ChEBI
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",Sphingomyelin (d18:1/16:0),78646,ChEBI
6-oxopiperidine-2-carboxylate,6-oxopiperidine-2-carboxylate,133178,ChEBI
n-delta-acetylornithine,N-delta-acetylornithine,133180,ChEBI
acisoga,Acisoga,133185,ChemIDplus
2-aminoheptanoate,2-aminoheptanoate,133223,ChEBI
1-eicosapentaenoyl-gpe (20:5)*,1-eicosapentaenoyl-GPE (20:5),133522,ChEBI
"n2,n5-diacetylornithine","N(2),N(5)-diacetylornithine",133209,ChEBI
3-methoxytyramine sulfate,3-methoxytyramine,192089,UniProt
methionine sulfone,methionine sulfone,132188,ChEBI
cyclo(ala-pro),Cyclo(aoe-pro-ala-ala),48028,ChemIDplus
1-linolenoyl-gpc (18:3)*,1-linolenoyl-GPC (18:3),133456,ChEBI
1-eicosapentaenoyl-gpc (20:5)*,1-eicosapentaenoyl-GPC (20:5),91311,ChEBI
1-eicosenoyl-gpc (20:1)*,1-eicosenoyl-GPC (20:1),131982,ChEBI
n-acetylalliin,N-Acetylalanine,40992,DrugBank
1-dihomo-linolenoyl-gpe (20:3n3 or 6)*,1-dihomo-linolenoyl-GPC(20:3n6),86256,ChEBI
1-(1-enyl-oleoyl)-gpe (p-18:1)*,1-(1-enyl-oleoyl)-GPC (P-18:1),84753,ChEBI
o-sulfo-l-tyrosine,O-sulfo-L-tyrosine,46215,PDBeChem
ferulic acid 4-sulfate,ferulic acid sulfate,133508,ChEBI
11-ketoetiocholanolone glucuronide,11-Oxoetiocholanolone glucuronide,88771,HMDB
etiocholanolone glucuronide,etiocholanolone glucuronide,133504,ChEBI
17alpha-hydroxypregnanolone glucuronide,17alpha-hydroxypregnanolone,34353,KEGG COMPOUND
n-acetyltaurine,N-Acetyltaurine,84415,ChemIDplus
1-docosapentaenoyl-gpc (22:5n6)*,1-docosapentaenoyl-GPC (22:5n6),74348,ChEBI
1-linolenoyl-gpe (18:3)*,1-linolenoyl-GPC (18:3),133456,ChEBI
1-oleoyl-gpg (18:1)*,1-oleoyl-GPI (18:1),78762,ChEBI
1-palmitoyl-gpg (16:0)*,1-palmitoyl-GPC (16:0),72998,ChEBI
9-hydroxystearate,9-hydroxystearate,136286,SUBMITTER
3-methylglutarylcarnitine (2),methylglutarylcarnitines,86486,ChEBI
methyl glucopyranoside (alpha + beta),methyl beta-D-glucopyranoside,320055,IUPAC
"sphingomyelin (d18:2/14:0, d18:1/14:1)*",Sphingomyelin (d18:1/16:0),78646,ChEBI
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",Sphingomyelin (d18:1/16:0),78646,ChEBI
octadecenedioylcarnitine (c18:1-dc)*,O-octanedioylcarnitine(1-),77083,SUBMITTER
"5alpha-androstan-3alpha,17beta-diol monosulfate (2)","5alpha-androstan-3alpha,17beta-diol monosulfate",133105,ChEBI
n-formylphenylalanine,N-formylphenylalanine,133534,ChEBI
4-hydroxychlorothalonil,4-hydroxychlorothalonil,156267,UniProt
tyramine o-sulfate,tyramine O-sulfate,133530,ChEBI
3-hydroxypyridine sulfate,3-hydroxypyridine,87440,ChemIDplus
methyl-4-hydroxybenzoate sulfate,methyl-4-hydroxybenzoate sulfate,133532,ChEBI
1-dihomo-linolenylglycerol (20:3),"1,2-Dihomo-g-linolenoyl-rac-glycerol",89804,HMDB
4-vinylguaiacol sulfate,4-vinylguaiacol,42438,ChemIDplus
vanillactate,Vanillactate,88526,HMDB
eugenol sulfate,Eugenol methyl ether,4918,KEGG COMPOUND
2-methoxyresorcinol sulfate,2-methoxyresorcinol monosulfate,133548,ChEBI
2-acetamidophenol sulfate,2-acetamidophenyl sulfate,133562,ChEBI
p-cresol glucuronide*,p-Cresol glucuronide,87986,HMDB
6-hydroxyindole sulfate,6-Hydroxyindolelactate,27524,KEGG COMPOUND
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",sphingomyelin (d16:1/16:0),133171,ChEBI
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",sphingomyelin(d18:1/20:1),131459,ChEBI
"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*",Sphingomyelin (d18:1/18:1(11Z)),86086,HMDB
behenoyl sphingomyelin (d18:1/22:0)*,behenoyl sphingomyelin (d18:1/22:0),74532,ChEBI
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Sphingomyelin (d18:1/18:1(11Z)),86086,HMDB
"sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*",Sphingomyelin (d18:1/18:1(11Z)),86086,HMDB
lignoceroyl sphingomyelin (d18:1/24:0),Sphingomyelin (d18:0/24:0),84495,HMDB
"sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*",sphingomyelin (d16:1/16:0),133171,ChEBI
dopamine 4-sulfate,dopamine 4-sulfate,34729,ChEBI
dopamine 3-o-sulfate,Dopamine 3-O-sulfate,37946,KEGG COMPOUND
3-hydroxyhexanoate,methyl 3-hydroxyhexanoate,173244,SUBMITTER
3beta-hydroxy-5-cholestenoate,3beta-hydroxy-5-cholestene-22-one,143264,ChEBI
"1,2,3-benzenetriol sulfate (2)","1,2,3-benzenetriol sulfate",133587,ChEBI
3-methoxycatechol sulfate (1),O-methylcatechol sulfate,133460,ChEBI
n-acetylkynurenine (2),N-acetylkynurenines,133592,ChEBI
c-glycosyltryptophan,N-glycyltryptophan,73921,NIST Chemistry WebBook
arabitol/xylitol,L-Arabitol,18403,KEGG COMPOUND
n-acetylglucosamine/n-acetylgalactosamine,N-acetylglucosamine,28009,ChemIDplus
nonanoylcarnitine (c9),(R)-nonanoylcarnitine,85527,ChEBI
glycochenodeoxycholate 3-sulfate,Glycochenodeoxycholate-3-sulfate,72733,HMDB
glycodeoxycholate 3-sulfate,glycodeoxycholate sulfate,133680,ChEBI
taurodeoxycholic acid 3-sulfate,taurodeoxycholic acid,9410,ChemIDplus
linoleoyl ethanolamide,Linoleoyl ethanolamide,89605,HMDB
1-stearoyl-2-oleoyl-gpc (18:0/18:1),1-stearoyl-2-oleoyl-GPC (18:0/18:1),75034,ChEBI
1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6),1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),73003,ChEBI
1-palmitoyl-2-docosahexaenoyl-gpc (16:0/22:6),1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),74963,ChEBI
1-stearoyl-2-docosahexaenoyl-gpc (18:0/22:6),1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),84829,ChEBI
1-(1-enyl-stearoyl)-2-oleoyl-gpc (p-18:0/18:1),1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1),86241,ChEBI
1-(1-enyl-stearoyl)-2-arachidonoyl-gpc (p-18:0/20:4),1-(1-enyl-stearoyl)-2-arachidonoyl-GPC,84828,ChEBI
1-(1-enyl-stearoyl)-2-oleoyl-gpe (p-18:0/18:1),1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1),86241,ChEBI
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",sphingomyelin (d18:0/18:1(9Z)),134074,ChEBI
1-palmitoyl-2-stearoyl-gpc (16:0/18:0),1-palmitoyl-2-stearoyl-GPC (16:0/18:0),73000,ChEBI
2-hydroxybutyrate/2-hydroxyisobutyrate,2-Hydroxybutyrate,50613,KEGG COMPOUND
2-methylcitrate/homocitrate,2-Methylcitrate,15598,KEGG COMPOUND
isoleucylleucine/leucylisoleucine,Isoleucyl-Leucine,74072,HMDB
1-palmitoleoylglycerol (16:1)*,1-palmitoleoylglycerol,133596,ChEBI
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,palmitoyl dihydrosphingomyelin (d18:0/16:0),78647,ChEBI
tricosanoyl sphingomyelin (d18:1/23:0)*,sphingomyelin(d18:1/23:3),131460,ChEBI
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",Sphingomyelin (d18:1/16:0),78646,ChEBI
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",sphingomyelin(d18:1/18:3),131458,ChEBI
1-stearoyl-2-linoleoyl-gpe (18:0/18:2)*,1-stearoyl-2-linoleoyl-GPC (18:0/18:2),84822,ChEBI
1-stearoyl-2-arachidonoyl-gpe (18:0/20:4),1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),78268,ChEBI
1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,1-stearoyl-2-linoleoyl-GPC (18:0/18:2),84822,ChEBI
1-palmitoyl-2-palmitoleoyl-gpc (16:0/16:1)*,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1),74000,ChEBI
1-palmitoyl-2-eicosapentaenoyl-gpc (16:0/20:5)*,1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5),86137,ChEBI
1-palmitoyl-2-arachidonoyl-gpe (16:0/20:4)*,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),73003,ChEBI
1-palmitoyl-2-docosahexaenoyl-gpe (16:0/22:6)*,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6),78261,ChEBI
1-stearoyl-2-docosahexaenoyl-gpe (18:0/22:6)*,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6),78266,ChEBI
1-palmitoyl-2-arachidonoyl-gpi (16:0/20:4)*,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4),72834,ChEBI
1-stearoyl-2-linoleoyl-gpi (18:0/18:2),1-stearoyl-2-linoleoyl-GPC (18:0/18:2),84822,ChEBI
gamma-tocopherol/beta-tocopherol,gamma-Tocopherol,18185,KEGG COMPOUND
1-(1-enyl-stearoyl)-2-arachidonoyl-gpe (p-18:0/20:4)*,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE,78342,ChEBI
1-(1-enyl-palmitoyl)-2-docosahexaenoyl-gpe (p-16:0/22:6)*,1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6),133646,ChEBI
1-(1-enyl-palmitoyl)-2-arachidonoyl-gpe (p-16:0/20:4)*,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4),133647,ChEBI
1-(1-enyl-stearoyl)-2-docosahexaenoyl-gpe (p-18:0/22:6)*,1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPC (P-18:0/22:6),133664,ChEBI
1-(1-enyl-palmitoyl)-2-oleoyl-gpe (p-16:0/18:1)*,1-(1-enyl-palmitoyl)-GPE (P-16:0),133139,ChEBI
1-(1-enyl-palmitoyl)-2-dihomo-linolenoyl-gpc (p-16:0/20:3)*,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2),84557,ChEBI
1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1),84562,ChEBI
1-(1-enyl-palmitoyl)-2-docosahexaenoyl-gpc (p-16:0/22:6)*,1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPC (P-16:0/22:6),133636,ChEBI
1-(1-enyl-palmitoyl)-2-linoleoyl-gpc (p-16:0/18:2)*,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2),84557,ChEBI
1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4)*,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4),77292,ChEBI
1-(1-enyl-stearoyl)-2-docosahexaenoyl-gpc (p-18:0/22:6)*,1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPC (P-18:0/22:6),133664,ChEBI
1-stearyl-2-arachidonoyl-gpc (o-18:0/20:4)*,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),74965,ChEBI
1-palmityl-2-oleoyl-gpc (o-16:0/18:1)*,1-palmityl-2-oleoyl-GPC (O-16:0/18:1),34112,ChEBI
1-palmityl-2-arachidonoyl-gpc (o-16:0/20:4)*,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),73003,ChEBI
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",sphingomyelin (d16:1/16:0),133171,ChEBI
behenoyl dihydrosphingomyelin (d18:0/22:0)*,behenoyl sphingomyelin (d18:1/22:0),74532,ChEBI
"sphingomyelin (d18:0/18:0, d19:0/17:0)*",sphingomyelin (d18:0/18:1(9Z)),134074,ChEBI
n-palmitoyl-sphinganine (d18:0/16:0),N-palmitoyl-C20-sphinganine,67017,ChEBI
lactosyl-n-palmitoyl-sphingosine (d18:1/16:0),lactosyl-N-palmitoylsphingosine,84757,ChEBI
1-pentadecanoyl-2-linoleoyl-gpc (15:0/18:2)*,1-pentadecanoyl-2-linoleoyl-GPC (15:0/18:2),133617,ChEBI
1-margaroyl-2-oleoyl-gpc (17:0/18:1)*,1-margaroyl-2-linoleoyl-GPC (17:0/18:2),84566,ChEBI
1-margaroyl-2-linoleoyl-gpc (17:0/18:2)*,1-margaroyl-2-linoleoyl-GPC (17:0/18:2),84566,ChEBI
phenylacetylglutamate,Phenylalanylglutamate,74712,ChemIDplus
1-stearoyl-2-dihomo-linolenoyl-gpc (18:0/20:3n3 or 6)*,1-dihomo-linolenoyl-GPC(20:3n6),86256,ChEBI
palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*,1-Palmitoyl-2-linoleoyl-3-linoleoyl-glycerol,89842,HMDB
palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*,1-Palmitoyl-2-linoleoyl-3-linoleoyl-glycerol,89842,HMDB
1-palmitoyl-2-oleoyl-gpi (16:0/18:1)*,1-palmitoyl-2-oleoyl-GPI (16:0/18:1),72837,ChEBI
1-stearoyl-2-docosahexaenoyl-gpi (18:0/22:6)*,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6),78266,ChEBI
1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2),133649,ChEBI
1-oleoyl-2-linoleoyl-gpe (18:1/18:2)*,1-oleoyl-2-linoleoyl-GPE (18:1/18:2),74977,ChEBI
1-pentadecanoyl-2-arachidonoyl-gpc (15:0/20:4)*,1-pentadecanoyl-2-oleoyl-GPC (15:0/18:1),133623,ChEBI
1-pentadecanoyl-2-docosahexaenoyl-gpc (15:0/22:6)*,1-pentadecanoyl-2-oleoyl-GPC (15:0/18:1),133623,ChEBI
1-margaroyl-2-arachidonoyl-gpc (17:0/20:4)*,1-margaroyl-2-linoleoyl-GPC (17:0/18:2),84566,ChEBI
1-margaroyl-2-docosahexaenoyl-gpc (17:0/22:6)*,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6),84814,ChEBI
1-arachidoyl-2-arachidonoyl-gpc (20:0/20:4)*,1-arachidoyl-GPC (20:0),74968,ChEBI
1-oleoyl-2-docosahexaenoyl-gpc (18:1/22:6)*,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6),84814,ChEBI
1-linoleoyl-2-docosahexaenoyl-gpc (18:2/22:6)*,1-stearoyl-2-linoleoyl-GPC (18:0/18:2),84822,ChEBI
1-palmityl-2-linoleoyl-gpc (o-16:0/18:2)*,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),73002,ChEBI
1-(1-enyl-stearoyl)-2-linoleoyl-gpc (p-18:0/18:2)*,1-(1-enyl-stearoyl)-2-linoleoyl-GPC (P-18:0/18:2),84555,ChEBI
1-myristoyl-2-docosahexaenoyl-gpc (14:0/22:6)*,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),75062,ChEBI
1-stearoyl-2-docosapentaenoyl-gpc (18:0/22:5n3)*,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),84829,ChEBI
1-stearoyl-2-docosapentaenoyl-gpc (18:0/22:5n6)*,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),84829,ChEBI
1-palmitoyl-2-adrenoyl-gpc (16:0/22:4)*,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1),74000,ChEBI
1-stearoyl-2-adrenoyl-gpc (18:0/22:4)*,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),74965,ChEBI
1-stearyl-gpc (o-18:0)*,1-stearyl-GPC (O-18:0),75216,ChEBI
1-oleoyl-2-dihomo-linolenoyl-gpc (18:1/20:3)*,1-oleoyl-2-dihomolinolenoyl-GPC (18:1/20:3),89618,ChEBI
1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)*,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1),84562,ChEBI
1-(1-enyl-palmitoyl)-2-myristoyl-gpc (p-16:0/14:0)*,1-(1-enyl-palmitoyl)-2-myristoyl-GPC (P-16:0/14:0),133669,ChEBI
1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)*,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0),133672,ChEBI
"phosphatidylcholine (16:0/22:5n3, 18:1/20:4)*",Phosphatidylcholine(22:5n3/16:0),88433,HMDB
"phosphatidylcholine (18:0/20:5, 16:0/22:5n6)*",Phosphatidylcholine(18:1n9/20:4n6),89465,HMDB
1-stearoyl-2-oleoyl-gpi (18:0/18:1)*,1-stearoyl-2-oleoyl-GPE (18:0/18:1),75038,ChEBI
1-stearoyl-2-dihomo-linolenoyl-gpi (18:0/20:3n3 or 6)*,1-(1-enyl-stearoyl)-2-linoleoyl-GPC (P-18:0/18:2),84555,ChEBI
1-palmitoyl-2-eicosapentaenoyl-gpe (16:0/20:5)*,1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5),86137,ChEBI
1-stearoyl-2-dihomo-linolenoyl-gpe (18:0/20:3n3 or 6)*,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2),133675,ChEBI
1-oleoyl-2-arachidonoyl-gpe (18:1/20:4)*,1-oleoyl-2-linoleoyl-GPE (18:1/18:2),74977,ChEBI
1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2),133675,ChEBI
1-linoleoyl-gpg (18:2)*,1-linoleoyl-GPC (18:2),28733,ChEBI
thioproline,Thiaproline,64564,ChemIDplus
palmitoylcholine,palmitoylcholine,133677,ChEBI
glycocholate glucuronide (1),glycocholate glucuronide,133682,ChEBI
glycochenodeoxycholate glucuronide (1),glycochenodeoxycholate glucuronide,133684,ChEBI
(s)-3-hydroxybutyrylcarnitine,3-hydroxybutyrylcarnitine,84842,ChEBI
glycosyl-n-palmitoyl-sphingosine (d18:1/16:0),N-palmitoyl-sphingosine,72959,ChEBI
oleoylcholine,oleoyllysophosphatidylcholine,76083,SUBMITTER
arachidonoylcholine,2-arachidonoyllysophosphatidylcholine,76079,SUBMITTER
1-linoleoyl-2-linolenoyl-gpc (18:2/18:3)*,1-linolenoyl-GPC (18:3),133456,ChEBI
1-palmitoleoyl-2-linolenoyl-gpc (16:1/18:3)*,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),73002,ChEBI
"phosphatidylcholine (14:0/14:0, 16:0/12:0)",phosphatidylcholine(14:0_16:0),167242,SUBMITTER
"phosphatidylcholine (15:0/18:1, 17:0/16:1, 16:0/17:1)*",phosphatidylcholine(15:0_16:0),167245,SUBMITTER
1-oleoyl-2-dihomo-linoleoyl-gpc (18:1/20:2)*,1-oleoyl-2-linoleoyl-GPC (18:1/18:2),74670,ChEBI
"phosphatidylcholine (18:0/20:2, 20:0/18:2)*",Phosphatidylcholine(18:0/20:4),74965,HMDB
